level,seq,simplified,traditional,pinyin,hsk_pinyin,english,cedict_meaning,freq
1,112,我,我,wo3,wǒ,"I, me, my",I; me; my,1682285
1,73,你,你,ni3,nǐ,you (informal),"you (informal, as opposed to courteous 您[nin2])",1329424
1,97,是,是,shi4,shì,"is, are, am, to be","to be (followed by substantives only)
correct; right; true
(respectful acknowledgement of a command) very well
(adverb for emphatic assertion)",947807
1,55,了,了,le5,le,"particle for completed actions, intensifier","(completed action marker)
(modal particle indicating change of state, situation now)
(modal particle intensifying preceding clause)",946365
1,8,不,不,bu4,bù,"not, no, (negative prefix)","no; not so
(bound form) not; un-",689161
1,15,的,的,de5,de,"of, possessive particle","of; ~'s (possessive particle)
(used after an attribute)
(used to form a nominal expression)
(used at the end of a declarative sentence for emphasis)
also pr. [di4] or [di5] in poetry and songs",1682530
1,138,在,在,zai4,zài,(located) at,"to exist; to be alive
(of sb or sth) to be (located) at
(used before a verb to indicate an action in progress)",429766
1,105,他,他,ta1,tā,"he or him
(used for either sex when the sex is unknown or unimportant)","he; him (used for either sex when the sex is unknown or unimportant)
(used before sb's name for emphasis)
(used as a meaningless mock object)
(literary) other",397653
1,113,我们,我們,wo3 men5,wǒ men,"we, us, our","we
us
ourselves
our",371696
1,36,好,好,hao3,hǎo,good,"good
appropriate; proper
all right!
(before a verb) easy to
(before a verb) good to
(before an adjective for exclamatory effect) so
(verb complement indicating completion)
(of two people) close; on intimate terms
(after a personal pronoun) hello",334698
1,136,有,有,you3,yǒu,"to have, there is, there are","to have; there is
(bound form) having; with; -ful; -ed; -al (as in 有意[you3 yi4] intentional)",289109
1,142,这,這,zhe4,zhè,this,"(pronoun) this; these
(bound form) this; the (followed by a noun)
(bound form) this; these (followed by a classifier) (in this sense, commonly pr. [zhei4], esp. in Beijing)",286987
1,42,会,會,hui4,huì,"can, will, be likely to","can (i.e. have the skill, know how to)
likely to
sure to
to meet
to get together
meeting
gathering
union
group
association
a moment (Taiwan pr. for this sense is [hui3])",265929
1,61,吗,嗎,ma5,ma,yes/no question particle,(coll.) what?,249187
1,94,什么,什麼,shen2 me5,shén me,what? something,"what?
something
anything",236517
1,106,她,她,ta1,tā,"she, her",she,221420
1,121,想,想,xiang3,xiǎng,"to think, desire, would like to","to think (about)
to think of; to devise
to think (that); to believe (that)
to desire; to want (to)
to miss (feel wistful about the absence of)",212185
1,131,一,一,yi1,yī,"one, 1","one
single
a (article)
as soon as
entire; whole; all; throughout
'one' radical in Chinese characters (Kangxi radical 1)
also pr. [yao1] for greater clarity when spelling out numbers digit by digit",203626
1,39,很,很,hen3,hěn,"very, quite","(adverb of degree)
quite
very
awfully",200584
1,85,人,人,ren2,rén,"person, people","person; people
CL:個|个[ge4],位[wei4]",194914
1,70,那,那,na4,nà,that,surname Na,190087
1,53,来,來,lai2,lái,to come,"to come
to arrive
to come round
ever since
next",185154
1,21,都,都,dou1,dōu,all,surname Du,177619
1,32,个,個,ge4,gè,general measure word,used in 自個兒|自个儿[zi4 ge3 r5],173905
1,72,能,能,neng2,néng,to be able to,surname Neng,166656
1,83,去,去,qu4,qù,to go,"to go
to go to (a place)
(of a time etc) last
just passed
to send
to remove
to get rid of
to reduce
to be apart from in space or time
to die (euphemism)
to play (a part)
(when used either before or after a verb) to go in order to do sth
(after a verb of motion indicates movement away from the speaker)
(used after certain verbs to indicate detachment or separation)",163054
1,64,没,沒,mei2,méi,"(negative prefix for verbs), have not, not,",(negative prefix for verbs) have not; not,159508
1,38,和,咊,he2,hé,and,old variant of 和[he2],150418
1,150,做,做,zuo4,zuò,"to make, to do","to make; to produce
to write; to compose
to do; to engage in; to hold (a party etc)
(of a person) to be (an intermediary, a good student etc); to become (husband and wife, friends etc)
(of a thing) to serve as; to be used for
to assume (an air or manner)",122364
1,90,上,上,shang4,shàng,"on top, above",used in 上聲|上声[shang3 sheng1],114371
1,50,看,看,kan4,kàn,"to see, look, watch","to look after
to take care of
to watch
to guard",102546
1,140,怎么,怎麼,zen3 me5,zěn me,how?,"how?
what?
why?",89166
1,120,现在,現在,xian4 zai4,xiàn zài,now,"now
at present
at the moment
modern
current
nowadays",88120
1,16,点,點,dian3,diǎn,"point, o'clock","point
dot
drop
speck
o'clock
point (in space or time)
to draw a dot
to check on a list
to choose
to order (food in a restaurant)
to touch briefly
to hint
to light
to ignite
to pour a liquid drop by drop
(old) one fifth of a two-hour watch 更[geng1]
dot stroke in Chinese characters
classifier for items",77665
1,71,呢,呢,ne5,ne,"reciprocal particle, what about… ?","particle indicating that a previously asked question is to be applied to the preceding word ('What about ...?', 'And ...?')
particle for inquiring about location ('Where is ...?')
particle signaling a pause, to emphasize the preceding words and allow the listener time to take them on board ('ok?', 'are you with me?')
(at the end of a declarative sentence) particle indicating continuation of a state or action
particle indicating strong affirmation",76752
1,107,太,太,tai4,tài,"too (much), very, highest","highest
greatest
too (much)
very
extremely",65151
1,57,里,裏,li3,lǐ,"in, inside",variant of 裡|里[li3],63276
1,109,听,听,ting1,tīng,to listen,smile (archaic),54888
1,93,谁,誰,shei2,shéi,who?,"who
also pr. [shui2]",52782
1,24,多,多,duo1,duō,many,"many; much
too many; in excess
(after a numeral) ... odd
how (to what extent) (Taiwan pr. [duo2])
(bound form) multi-; poly-",52605
1,96,时候,時候,shi2 hou5,shí hou,time,"time
length of time
moment
period",52176
1,116,下,下,xia4,xià,"down, below","down
downwards
below
lower
later
next (week etc)
second (of two parts)
to decline
to go down
to arrive at (a decision, conclusion etc)
measure word to show the frequency of an action",51975
1,126,谢谢,謝謝,xie4 xie5,xiè xie,"to thank, thanks","to thank
thanks
thank you",51457
1,119,先生,先生,xian1 sheng5,xiān sheng,"mister, sir","teacher
gentleman; sir; mister (Mr.)
husband
(dialect) doctor
CL:位[wei4]",46864
1,115,喜欢,喜歡,xi3 huan5,xǐ huan,to like,to like; to be fond of,46146
1,14,大,大,da4,dà,big,"big; large; great
older (than another person)
eldest (as in 大姐[da4 jie3])
greatly; freely; fully
(dialect) father
(dialect) uncle (father's brother)",45061
1,20,东西,東西,dong1 xi1,dōng xi,"thing, stuff",east and west,38127
1,122,小,小,xiao3,xiǎo,small,"small
tiny
few
young",34967
1,46,叫,叫,jiao4,jiào,"to call, be called (a name)","to shout
to call
to order
to ask
to be called
by (indicates agent in the passive mood)",34648
1,7,不客气,不客氣,bu4 ke4 qi5,bù kè qi,you're welcome,"you're welcome
don't mention it
impolite
rude
blunt",0
1,1,爱,愛,ai4,ài,to love,"to love; to be fond of; to like
affection
to be inclined (to do sth); to tend to (happen)",31122
1,74,年,年,nian2,nián,year,,30648
1,82,请,請,qing3,qǐng,"to invite, please (request), to treat","to ask
to invite
please (do sth)
to treat (to a meal etc)
to request",30598
1,41,回,回,hui2,huí,to return,"to circle
to go back
to turn around
to answer
to return
to revolve
Hui ethnic group (Chinese Muslims)
time
classifier for acts of a play
section or chapter (of a classic book)",30259
