hanzi,pinyin,english
杀,sha1,"to kill, to murder, to fight, to weaken or reduce, to smart (topolect), to counteract, (used after a verb) extremely,"
所,suo3,"actually, place, classifier for houses, small buildings, institutions etc, that which, particle introducing a relative clause or passive, CL:個|个[gè],"
正,zheng1,"just (right), main, upright, straight, correct, positive, greater than zero, principle,"
搞,gao3,"to do, to make, to go in for, to set up, to get hold of, to take care of,"
棒,bang4,"a stick, club or cudgel, smart, capable, strong, wonderful, classifier for legs of a relay race,"
亲爱,qin1 ai4,"dear, beloved, darling,"
宝贝,bao3 bei4,"treasured object, treasure, darling, baby, cowry, good-for-nothing or queer character,"
枪,Qiang1,"gun, firearm, rifle, spear, thing with shape or function similar to a gun, CL:支,把,杆,條|条,枝[zhī], to substitute for another person in a test, to knock, classifier for rifle shots,"
如何,ru2 he2,"how, what way, what,"
女士,nv3 shi4,"lady, madam, CL:個|个,位[wèi], Miss, Ms,"
根本,gen1 ben3,"fundamental, basic, root, simply, absolutely (not), (not) at all, CL:個|个[gè],"
确定,que4 ding4,"definite, certain, fixed, to fix (on sth), to determine, to be sure, to ensure, to make certain, to ascertain, to clinch, to recognize, to confirm, OK (on computer dialog box),"
兄弟,xiong1 di4,"brothers, younger brother, CL:個|个[gè], I, me (humble term used by men in public speech), brotherly, fraternal,"
救,jiu4,"to save, to assist, to rescue,"
唯一,wei2 yi1,"only, sole,"
看来,kan4 lai5,"apparently, it seems that,"
表现,biao3 xian4,"to show, to show off, to display, to manifest, expression, manifestation, show, display, performance (at work etc), behavior,"
拍,pai1,"to pat, to clap, to slap, to swat, to take (a photo), to shoot (a film), racket (sports), beat (music),"
呆,dai1,"foolish, stupid, expressionless, blank, to stay,"
绝对,jue2 dui4,"absolute, unconditional,"
整个,zheng3 ge4,"whole, entire, total,"
处理,chu3 li3,"to handle, to treat, to deal with, to process, CL:個|个[gè],"
是否,shi4 fou3,"whether (or not), if, is or isn't,"
行动,xing2 dong4,"operation, action, to move, mobile, CL:個|个[gè],"
失去,shi1 qu4,"to lose,"
开心,kai1 xin1,"to feel happy, to rejoice, to have a great time, to make fun of sb,"
倒,dao3,"to place upside down, to invert, to pour, to throw out, to move backwards, however, actually, as a matter of fact, contrary to expectation,"
派,pai4,"clique, school, group, faction, to dispatch, to send, to assign, to appoint, pi (Greek letter Ππ), the circular ratio pi = 3.1415926, (loanword) pie,"
作为,zuo4 wei2,"one's conduct, deed, activity, accomplishment, achievement, to act as, as (in the capacity of), qua, to view as, to look upon (sth as), to take sth to be,"
曾经,ceng2 jing1,"once, already, former, previously, ever, (past tense marker used before verb or clause),"
总统,zong3 tong3,"president (of a country), CL:個|个,位,名,屆|届[jiè],"
控制,kong4 zhi4,"control, to exercise control over, to contain,"
哈,Ha1,"laughter, yawn,"
提,di1,"to carry (hanging down from the hand), to lift, to put forward, to mention, to raise (an issue), upwards character stroke, lifting brush stroke (in painting), scoop for measuring liquid,"
糟糕,zao1 gao1,"too bad, how terrible, what bad luck, terrible, bad,"
保持,bao3 chi2,"to keep, to maintain, to hold, to preserve,"
证据,zheng4 ju4,"evidence, proof, testimony,"
重,chong2,"heavy, serious, to attach importance to,"
事实,shi4 shi2,"fact, CL:個|个[gè],"
家庭,jia1 ting2,"family, household, CL:戶|户,個|个[gè],"
装,zhuang1,"adornment, to adorn, dress, clothing, costume (of an actor in a play), to play a role, to pretend, to install, to fix, to wrap (sth in a bag), to load, to pack,"
秘密,mi4 mi4,"secret, CL:個|个[gè],"
简直,jian3 zhi2,"simply, at all, practically,"
不好意思,bu4 hao3 yi4 si5,"to feel embarrassed, to find it embarrassing, to be sorry (for inconveniencing sb),"
的确,di2 que4,"really, indeed,"
方式,fang1 shi4,"way (of life), pattern, style, mode, manner, CL:個|个[gè],"
瞧,qiao2,"to look at, to see, to see (a doctor), to visit,"
疯狂,feng1 kuang2,"madness, extreme popularity,"
片,pian1,"thin piece, flake, a slice, film, TV play, to slice, to carve thin, partial, incomplete, one-sided, classifier for slices, tablets, tract of land, area of water, classifier for CDs, movies, DVDs etc, used with numeral 一: classifier for scenario, scene, feeling, atmosphere, sound etc,"
记录,ji4 lu4,"to record, record (written account), record (in sports etc), CL:個|个[gè],"
来自,lai2 zi4,"to come from (a place), From: (in email header),"
太太,tai4 tai5,"married woman, Mrs., Madam, wife, CL:個|个,位[wèi],"
对于,dui4 yu2,"regarding, as far as sth is concerned, with regards to,"
除非,chu2 fei1,"only if (..., or otherwise, ...), only when, only in the case that, unless,"
傻,sha3,"foolish,"
阻止,zu3 zhi3,"to prevent, to block,"
想象,xiang3 xiang4,"to imagine, to fancy, CL:個|个[gè],"
完美,wan2 mei3,"perfect, perfection, perfectly,"
克,Ke4,"variant of 克[kè], to subdue, to overthrow, to restrain,"
目标,mu4 biao1,"target, goal, objective, CL:個|个[gè],"
放松,fang4 song1,"to loosen, to relax,"
系统,xi4 tong3,"system, CL:個|个[gè],"
滚,gun3,"to boil, to roll, to take a hike, Get lost!,"
错误,cuo4 wu4,"error, mistake, CL:個|个[gè], mistaken, false, wrong,"
报告,bao4 gao4,"to inform, to report, to make known, speech, talk, lecture, CL:篇,份,個|个,通[tòng],"
人类,ren2 lei4,"humanity, human race, mankind,"
冲,chong1,"thoroughfare, to go straight ahead, to rush, to clash,"
自由,zi4 you2,"freedom, free, liberty, CL:個|个[gè],"
建议,jian4 yi4,"to propose, to suggest, to recommend, proposal, suggestion, recommendation, CL:個|个,點|点[diǎn],"
套,tao4,"cover, sheath, to encase, a case, to overlap, to interleave, bend (of a river or mountain range, in place names), harness, classifier for sets, collections, tau (Greek letter Ττ),"
姑娘,gu1 niang5,"girl, young woman, young lady, daughter, paternal aunt (old), CL:個|个[gè],"
信息,xin4 xi1,"information, news, message,"
必要,bi4 yao4,"necessary, essential, indispensable, required,"
手术,shou3 shu4,"(surgical) operation, surgery, CL:個|个[gè],"
武器,wu3 qi4,"weapon, arms, CL:種|种[zhǒng],"
痛苦,tong4 ku3,"pain, suffering, painful, CL:個|个[gè],"
存在,cun2 zai4,"to exist, to be, existence,"
以及,yi3 ji2,"as well as, too, and,"
个人,ge4 ren2,"individual, personal, oneself,"
意义,yi4 yi4,"sense, meaning, significance, importance, CL:個|个[gè],"
承认,cheng2 ren4,"to admit, to concede, to recognize, recognition (diplomatic, artistic etc), to acknowledge,"
理由,li3 you2,"reason, grounds, justification, CL:個|个[gè],"
显然,xian3 ran2,"clear, evident, obvious(ly),"
政府,zheng4 fu3,"government, CL:個|个[gè],"
幸运,xing4 yun4,"fortunate, lucky, fortune, luck,"
未来,wei4 lai2,"future, tomorrow, CL:個|个[gè], approaching, coming, pending,"
根,gen1,"root, basis, classifier for long slender objects, e.g. cigarettes, guitar strings, CL:條|条[tiáo], radical (chemistry),"
吓,he4,"to frighten, to scare,"
治疗,zhi4 liao2,"to treat, to cure, medical treatment, cure,"
行为,xing2 wei2,"action, conduct, behavior, activity,"
婚礼,hun1 li3,"wedding ceremony, wedding,"
老板,lao3 ban3,"boss, business proprietor, CL:個|个[gè],"
合作,he2 zuo4,"to cooperate, to collaborate, to work together, cooperation, CL:個|个[gè],"
支,Zhi1,"to support, to sustain, to erect, to raise, branch, division, to draw money, classifier for rods such as pens and guns, for army divisions and for songs or compositions,"
可怕,ke3 pa4,"awful, dreadful, fearful, formidable, frightful, scary, hideous, horrible, terrible, terribly,"
中心,zhong1 xin1,"center, heart, core, CL:個|个[gè],"
明显,ming2 xian3,"clear, distinct, obvious,"
消失,xiao1 shi1,"to disappear, to fade away,"
位置,wei4 zhi5,"position, place, seat, CL:個|个[gè],"
答应,da1 ying5,"to promise, to agree, to reply, to respond,"
秒,miao3,"second (of time), unit of angle or arc equivalent to one sixtieth of a degree,"
似乎,si4 hu1,"apparently, to seem, to appear, as if, seemingly,"
力量,li4 liang5,"power, force, strength,"
命令,ming4 ling4,"order, command, CL:道,個|个[gè],"
同时,tong2 shi2,"at the same time, simultaneously,"
威胁,wei1 xie2,"to threaten, to menace,"
比如,bi3 ru2,"for example, for instance, such as,"
享受,xiang3 shou4,"to enjoy, to live it up, pleasure, CL:種|种[zhǒng],"
战争,zhan4 zheng1,"war, conflict, CL:場|场,次[cì],"
利用,li4 yong4,"exploit, make use of, to use, to take advantage of, to utilize,"
恨,hen4,"to hate, to regret,"
训练,xun4 lian4,"to train, to drill, training, CL:個|个[gè],"
恐怖,kong3 bu4,"terrible, frightful, frightening, terror, terrorist,"
酒吧,jiu3 ba1,"bar, pub, saloon, CL:家[jiā],"
身份,shen1 fen4,"identity, status, capacity, dignity, position, rank,"
岛,dao3,"island, CL:個|个,座[zuò],"
一旦,yi1 dan4,"in case (sth happens), if, once (sth happens, then...), when, in a short time, in one day,"
面对,mian4 dui4,"to confront, to face,"
居然,ju1 ran2,"unexpectedly, to one's surprise, go so far as to,"
雷,Lei2,"thunder, (internet slang) terrifying, terrific,"
真实,zhen1 shi2,"true, real,"
人生,ren2 sheng1,"life (one's time on earth),"
受伤,shou4 shang1,"to sustain injuries, wounded (in an accident etc), harmed,"
夜,ye4,"night,"
属于,shu3 yu2,"to be classified as, to belong to, to be part of,"
出色,chu1 se4,"remarkable, outstanding,"
目前,mu4 qian2,"at the present time, currently,"
锁,suo3,"to lock up, to lock, CL:把[bǎ],"
人员,ren2 yuan2,"staff, crew, personnel, CL:個|个[gè],"
英雄,ying1 xiong2,"hero, CL:個|个[gè],"
感受,gan3 shou4,"to sense, perception, to feel (through the senses), a feeling, an impression, an experience,"
吻,wen3,"kiss, to kiss, mouth,"
逃,tao2,"to escape, to run away, to flee,"
要是,yao4 shi5,"if,"
公寓,gong1 yu4,"apartment building, block of flats, CL:套[tào],"
文件,wen2 jian4,"document, file, CL:份[fèn],"
寻找,xun2 zhao3,"to seek, to look for,"
烂,lan4,"soft, mushy, well-cooked and soft, to rot, to decompose, rotten, worn out, chaotic, messy, utterly, thoroughly,"
不然,bu4 ran2,"not so, no, or else, otherwise, if not,"
欠,qian4,"deficient, to owe, to lack, yawn,"
反应,fan3 ying4,"to react, to respond, reaction, response, reply, chemical reaction, CL:個|个[gè],"
意外,yi4 wai4,"unexpected, accident, mishap, CL:個|个[gè],"
食物,shi2 wu4,"food, CL:種|种[zhǒng],"
遗憾,yi2 han4,"regret, to regret, to be sorry that,"
反正,fan3 zheng4,"anyway, in any case, to come over from the enemy's side,"
设计,she4 ji4,"plan, design, to design, to plan, CL:個|个[gè],"
醉,zui4,"intoxicated,"
私人,si1 ren2,"private, personal, interpersonal, sb with whom one has a close personal relationship, a member of one's clique,"
某,mou3,"some, a certain, sb or sth indefinite, such-and-such,"
伟大,wei3 da4,"great, mighty, large,"
臭,chou4,"stench, stink, smelly, to smell (bad),"
自从,zi4 cong2,"since (a time), ever since,"
钟,Zhong1,"clock, o'clock, time as measured in hours and minutes, bell, CL:架,座[zuò],"
不必,bu4 bi4,"need not, does not have to, not necessarily,"
颗,ke1,"classifier for small spheres, pearls, corn grains, teeth, hearts, satellites etc,"
朝,Chao2,"imperial or royal court, government, dynasty, reign of a sovereign or emperor, court or assembly held by a sovereign or emperor, to make a pilgrimage to, facing, towards,"
呼吸,hu1 xi1,"to breathe,"
明星,ming2 xing1,"star, celebrity,"
破坏,po4 huai4,"destruction, damage, to wreck, to break, to destroy,"
角色,jue2 se4,"role,"
便,bian4,"ordinary, plain, convenient, as convenient, when the chance arises, handy, easy, informal, simple, so, thus, to relieve oneself, to urinate, to defecate, equivalent to 就: then, in that case, even if, soon afterwards,"
时刻,shi2 ke4,"moment, CL:個|个[gè], constantly, always,"
相当,xiang1 dang1,"equivalent to, appropriate, considerably, to a certain extent, fairly, quite,"
闻,Wen2,"to hear, news, well-known, famous, reputation, fame, to smell, to sniff at,"
公平,gong1 ping2,"fair, impartial,"
堆,dui1,"to pile up, to heap up, a mass, pile, heap, stack, large amount,"
俱乐部,ju4 le4 bu4,"club (i.e. a group or organization) (loanword), CL:個|个[gè],"
通常,tong1 chang2,"regular, usual, normal, usually, normally,"
咬,yao3,"to bite, to nip,"
紧,jin3,"tight, strict, close at hand, near, urgent, tense, hard up, short of money, to tighten,"
造成,zao4 cheng2,"to bring about, to create, to cause,"
信号,xin4 hao4,"signal,"
充满,chong1 man3,"full of, brimming with, very full, permeated,"
抢,qiang1,"to fight over, to rush, to scramble, to grab, to rob, to snatch,"
现实,xian4 shi2,"reality, actuality, real, actual, realistic,"
恢复,hui1 fu4,"to reinstate, to resume, to restore, to recover, to regain, to rehabilitate,"
聚会,ju4 hui4,"party, gathering, to meet, to get together,"
确认,que4 ren4,"to confirm, to verify, confirmation,"
资料,zi1 liao4,"material, resources, data, information, profile (Internet), CL:份,個|个[gè],"
婚姻,hun1 yin1,"matrimony, wedding, marriage, CL:次[cì],"
圈,juan1,"circle, ring, loop, classifier for loops, orbits, laps of race etc, CL:個|个[gè], to surround, to circle,"
脑袋,nao3 dai5,"head, skull, brains, mental capability, CL:顆|颗,個|个[gè],"
心理,xin1 li3,"mental, psychological,"
接着,jie1 zhe5,"to catch and hold on, to continue, to go on to do sth, to follow, to carry on, then, after that, subsequently, to proceed, to ensue, in turn, in one's turn,"
项,Xiang4,"back of neck, item, thing, term (in a mathematical formula), sum (of money), classifier for principles, items, clauses, tasks, research projects etc,"
记忆,ji4 yi4,"to remember, to recall, memory, CL:個|个[gè],"
紧急,jin3 ji2,"urgent, emergency,"
接近,jie1 jin4,"to approach, to get close to,"
权利,quan2 li4,"power, right, privilege,"
毛,Mao2,"hair, feather, down, wool, mildew, mold, coarse or semifinished, young, raw, careless, unthinking, nervous, scared, (of currency) to devalue or depreciate, classifier for Chinese fractional monetary unit ( = 角 , = 1, 10 yuan or 10 fen 分),"
冠军,guan4 jun1,"champion, CL:個|个[gè],"
教练,jiao4 lian4,"instructor, sports coach, trainer, CL:個|个,位,名[míng],"
对方,dui4 fang1,"counterpart, other person involved, opposite side, other side, receiving party,"
随时,sui2 shi2,"at any time, at all times, at the right time,"
敌人,di2 ren2,"enemy, CL:個|个[gè],"
