hanzi,pinyin,english
就,jiu4,"at once, in that case, then"
要,yao4,"want, shall, will, ask for, need"
知道,zhi1 dao4,to know
吧,ba5,"modal particle indicating suggestion or surmise, ...right?, ...OK?, ...I presume.,"
到,dao4,"to reach, to arrive
to (a place)
until (a time)"
也,ye3,also
還,hai2,"still, still in progress, still more"
讓,rang4,"to let/permit (sb do sth)
to make/have (sb do or feel sth)"
給,gei3,"to give
preposition like “to” or “for”"
得,de2,"to have to, must, ought to, to need to,
structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc,"
真,zhen1,"really, truly, indeed"
著,zhe5,"aspect particle indicating action in progress,"
可以,ke3 yi3,"can, may, possible, able to,"
別,bie2,"do not, must not"
走,zou3,"to walk, to leave"
告訴,gao4 su5,to tell
因為,yin1 wei4,because
再,zai4,"again, once more"
快,kuai4,"fast, rapid, quick, soon"
但是,dan4 shi4,"but, however"
已經,yi3 jing1,already
覺得,jue2 de5,"to think, to feel (that) ..."
它,ta1,it
從,cong2,from
找,zhao3,"to look for, to seek, to find"
最,zui4,"most, the most, -est (superlative suffix)"
為,wei4,"because of, for, to,"
可能,ke3 neng2,"might (happen), maybe, possible, perhaps"
次,ci4,"occurence, time"
出,chu1,"to go out, to come out, exit"
孩子,hai2 zi5,child
所以,suo3 yi3,"therefore, as a result, so"
兩,liang3,"two, both"
錯,cuo4,"mistake, error, fault"
問題,wen4 ti2,"question, problem, issue"
一起,yi1 qi3,together
開始,kai1 shi3,"to begin, to start"
時間,shi2 jian1,"time, period"
事情,shi4 qing5,"affair, matter, thing"
非常,fei1 chang2,"extremely, very, extraordinary"
希望,xi1 wang4,"hope, desire, wish for"
準備,zhun3 bei4,"preparation, to prepare"
比,bi3,(comparison particle)
問,wen4,to ask
件,jian4,"classifier for events, things, clothes"
意思,yi4 si5,"meaning, idea, opinion"
第一,di4 yi1,"first, number one"
進,jin4,"to enter, to go in"
大家,da4 jia1,everyone
新,xin1,new
您,nin2,you (courteous/formal)
向,xiang4,"towards, to turn towards, direction"
女人,nv3 ren2,woman
穿,chuan1,"to wear, to put on (clothes)"
送,song4,"to deliver, to send, to give (as a present), to present (with)"
玩,wan2,"to play, to have fun"
長,chang2,"length, long"
號,hao4,"ordinal number, day of the month"
