hanzi,pinyin,english
哦,e2,"oh (interjection indicating that one has just learned sth),"
嘿,hei1,"hey,"
嗯,en1,"interjection indicating approval, appreciation or agreement,"
嗨,hai1,"oh alas, hey!, hi! (loanword),"
嘛,ma2,"modal particle indicating that sth is obvious, particle indicating a pause for emphasis,"
傢伙,jia1 huo5,"household dish, implement or furniture, domestic animal, guy (slang), chap,"
啦,la1,"sentence-final particle, contraction of 了啊, indicating exclamation, particle placed after each item in a list of examples,"
哇,wa1,"replaces 啊 when following the vowel ""u"" or ""ao"","
拜託,bai4 tuo1,"to request sb to do sth, please!,"
或許,huo4 xu3,"perhaps, maybe,"
而已,er2 yi3,"that's all, nothing more,"
夫人,fu1 ren5,"lady, madam, Mrs., CL:位[wèi],"
屍體,shi1 ti3,"dead body, corpse, carcass, CL:具[jù],"
現場,xian4 chang3,"lit. actual location, the scene (of the incident), on-the-spot,"
監獄,jian1 yu4,"prison,"
啥,sha2,"dialectal equivalent of 什麼|什么[shén me],"
死亡,si3 wang2,"to die, death,"
擁有,yong1 you3,"to have, to possess,"
兇手,xiong1 shou3,"murderer, assassin,"
屁股,pi4 gu5,"buttocks, bottom, butt, back part,"
選手,xuan3 shou3,"athlete, contestant,"
投票,tou2 piao4,"to vote, vote,"
撒謊,sa1 huang3,"to tell lies,"
組,Zu3,"to form, to organize, group, team, classifier for sets, series, groups of people, batteries,"
發誓,fa1 shi4,"to vow, to pledge, to swear,"
意識,yi4 shi2,"consciousness, awareness, consciously (i.e. deliberately), to be aware,"
線索,xian4 suo3,"trail, clues, thread (of a story),"
砸,za2,"smash, smashed, to fail, to get it wrong,"
失蹤,shi1 zong1,"to be missing, to disappear, unaccounted for,"
真相,zhen1 xiang4,"the truth about sth, the actual facts,"
性感,xing4 gan3,"sex appeal, eroticism, sexuality, sexy,"
意味著,yi4 wei4 zhe5,"to signify, to mean, to imply,"
交易,jiao1 yi4,"(business) transaction, business deal, CL:筆|笔[bǐ],"
噁心,e3 xin1,"bad habit, vicious habit, vice,"
舞蹈,wu3 dao3,"dance,"
夢想,meng4 xiang3,"(figuratively) to dream of, dream,"
副,fu4,"secondary, auxiliary, deputy, assistant, vice-, abbr. for 副詞|副词 adverb, classifier for pairs, sets of things & facial expressions,"
事件,shi4 jian4,"event, happening, incident, CL:個|个[gè],"
數,shu3,"to count, to enumerate, to criticize (i.e. enumerate shortcomings),"
攻擊,gong1 ji1,"to attack, to accuse, to charge, an attack (terrorist or military),"
試圖,shi4 tu2,"to attempt, to try,"
淘汰,tao2 tai4,"to wash out, elimination (by selection), natural selection, to knock out (in a competition), to die out, to phase out,"
子彈,zi3 dan4,"bullet, CL:粒,顆|颗,發|发[fā],"
毒品,du2 pin3,"drugs, narcotics, poison,"
襲擊,xi2 ji1,"attack (esp. surprise attack), raid, to attack,"
超級,chao1 ji2,"super-, ultra-, hyper-,"
靈魂,ling2 hun2,"soul, spirit,"
爆炸,bao4 zha4,"explosion, to explode, to blow up, to detonate,"
盯,ding1,"to watch attentively, to fix attention on, to stare, to gaze, to follow, to shadow sb,"
愚蠢,yu2 chun3,"silly, stupid,"
跟蹤,gen1 zong1,"to follow sb's tracks, to tail, to shadow,"
懷孕,huai2 yun4,"pregnant, to have conceived, gestation, pregnancy,"
綁架,bang3 jia4,"to kidnap, to abduct, to hijack, a kidnapping, abduction, staking,"
客戶,ke4 hu4,"client, customer,"
分手,fen1 shou3,"to split up, to break up,"
將軍,Jiang1 jun1,"general, high-ranking military officer, to check or checkmate, fig. to embarrass, to challenge, to put sb on the spot,"
州,zhou1,"prefecture, state (e.g. of US), province (old), administrative division (old),"
毫無,hao2 wu2,"not in the least, to completely lack,"
逮捕,dai4 bu3,"to arrest, to apprehend, an arrest,"
成員,cheng2 yuan2,"member,"
監視,jian1 shi4,"to monitor, to oversee, to keep a close watch over, to spy on,"
警告,jing3 gao4,"to warn, to admonish,"
嘗試,chang2 shi4,"to try, to attempt, CL:次[cì],"
搭檔,da1 dang4,"to cooperate, partner,"
